,,auroc,auroc,auprc,auprc,f1_opt,f1_opt,shd,shd
,,mean,std,mean,std,mean,std,mean,std
method,setting,,,,,,,,
DAGMA,"n=100,acc=0.4",0.449,0.042,0.152,0.028,0.295,0.072,37.2,9.628
DAGMA,"n=100,acc=0.6",0.449,0.042,0.152,0.028,0.295,0.072,37.2,9.628
DAGMA,"n=100,acc=0.9",0.449,0.042,0.152,0.028,0.295,0.072,37.2,9.628
DAGMA,"n=500,acc=0.4",0.539,0.06,0.183,0.056,0.338,0.064,33.0,9.138
DAGMA,"n=500,acc=0.6",0.539,0.06,0.183,0.056,0.338,0.064,33.0,9.138
DAGMA,"n=500,acc=0.9",0.539,0.06,0.183,0.056,0.338,0.064,33.0,9.138
NOTEARS,"n=100,acc=0.4",0.41,0.093,0.147,0.046,0.283,0.084,32.6,7.021
NOTEARS,"n=100,acc=0.6",0.41,0.093,0.147,0.046,0.283,0.084,32.6,7.021
NOTEARS,"n=100,acc=0.9",0.41,0.093,0.147,0.046,0.283,0.084,32.6,7.021
NOTEARS,"n=500,acc=0.4",0.456,0.061,0.188,0.057,0.36,0.065,31.2,8.871
NOTEARS,"n=500,acc=0.6",0.456,0.061,0.188,0.057,0.36,0.065,31.2,8.871
NOTEARS,"n=500,acc=0.9",0.456,0.061,0.188,0.057,0.36,0.065,31.2,8.871
NOTEARS+mask,"n=100,acc=0.4",0.407,0.118,0.135,0.078,0.233,0.132,96.2,140.962
NOTEARS+mask,"n=100,acc=0.6",0.647,0.087,0.313,0.111,0.441,0.128,28.2,10.134
NOTEARS+mask,"n=100,acc=0.9",0.942,0.028,0.883,0.035,0.906,0.016,4.6,0.548
NOTEARS+mask,"n=500,acc=0.4",0.42,0.12,0.153,0.091,0.264,0.14,159.6,176.166
NOTEARS+mask,"n=500,acc=0.6",0.652,0.083,0.323,0.104,0.485,0.107,23.2,6.723
NOTEARS+mask,"n=500,acc=0.9",0.943,0.03,0.9,0.055,0.937,0.039,3.0,1.581
PRCD-MAP(learn_tau),"n=100,acc=0.4",0.698,0.098,0.349,0.148,0.477,0.156,27.6,10.188
PRCD-MAP(learn_tau),"n=100,acc=0.6",0.713,0.123,0.377,0.156,0.516,0.172,24.4,9.555
PRCD-MAP(learn_tau),"n=100,acc=0.9",0.92,0.075,0.784,0.162,0.829,0.118,8.6,6.95
PRCD-MAP(learn_tau),"n=500,acc=0.4",0.797,0.114,0.489,0.198,0.595,0.219,23.2,18.939
PRCD-MAP(learn_tau),"n=500,acc=0.6",0.864,0.066,0.627,0.15,0.707,0.121,16.2,9.524
PRCD-MAP(learn_tau),"n=500,acc=0.9",0.947,0.05,0.807,0.156,0.886,0.099,6.0,5.612
